frame,x,y
0,221,421
1,221,422
2,220,425
3,219,426
4,220,428
5,219,431
6,220,431
7,220,434
8,219,434
9,220,436
10,219,436
11,220,438
12,219,437
13,219,438
14,218,437
15,219,437
16,218,437
17,218,437
18,218,437
19,217,437
20,217,437
21,216,437
22,215,437
23,214,438
24,213,438
25,212,438
26,212,438
27,211,438
28,211,439
29,210,439
30,209,439
31,209,439
32,208,439
33,208,439
34,207,440
35,206,440
36,205,440
37,205,440
38,204,440
39,203,440
40,202,441
41,201,441
42,201,441
43,200,441
44,200,441
45,199,442
46,199,442
47,198,442
48,198,442
49,198,442
50,197,443
51,198,443
52,197,443
53,195,444
54,194,444
55,194,444
56,194,444
57,193,445
58,192,445
59,191,446
60,191,446
61,190,446
62,190,447
63,189,446
64,189,447
65,188,447
66,188,447
67,188,447
68,188,447
69,187,447
70,187,448
71,187,448
72,186,448
73,186,448
74,186,448
75,186,448
76,185,448
77,185,448
78,184,448
79,184,449
80,183,449
81,182,449
82,182,449
83,181,449
84,181,449
85,180,449
86,180,450
87,180,449
88,180,449
89,179,449
90,179,450
91,178,450
92,178,450
93,178,450
94,177,450
95,176,450
96,176,449
97,175,449
98,174,449
99,174,449
100,174,449
101,174,449
102,174,449
103,176,449
104,175,449
105,175,449
106,175,449
107,174,449
108,174,449
109,173,450
110,173,450
111,172,450
112,172,450
113,172,450
114,172,450
115,172,451
116,172,451
117,172,451
118,172,451
119,172,451
120,172,452
121,172,453
122,172,453
123,171,453
124,171,452
125,171,452
126,171,452
127,171,452
128,171,452
129,169,452
130,169,452
131,169,453
132,169,453
133,168,453
134,168,453
135,167,454
136,167,454
137,167,454
138,166,454
139,166,454
140,166,455
141,166,455
142,165,455
143,165,456
144,164,456
145,164,456
146,163,457
147,163,457
148,162,458
149,161,458
150,161,458
151,160,459
152,160,459
153,159,459
154,159,460
155,158,460
156,158,460
157,158,461
158,157,461
159,157,461
160,156,462
161,156,462
162,155,463
163,154,463
164,154,463
165,153,464
166,152,464
167,151,465
168,150,465
169,149,466
170,149,466
171,148,466
172,147,466
173,146,467
174,145,468
175,144,468
176,144,468
177,143,469
178,142,469
179,141,469
180,140,470
181,139,470
182,138,471
183,137,471
184,136,472
185,134,473
186,135,471
187,134,472
188,134,472
189,133,472
190,132,473
191,131,474
192,131,474
193,130,475
194,127,478
195,126,478
196,125,479
197,124,480
198,124,478
199,124,479
