frame,x,y
0,414,364
1,414,364
2,413,364
3,413,363
4,412,364
5,412,364
6,412,364
7,412,365
8,412,364
9,412,364
10,411,364
11,411,364
12,411,364
13,411,364
14,411,364
15,411,364
16,411,364
17,411,364
18,411,364
19,412,365
20,412,365
21,412,365
22,412,365
23,412,365
24,412,365
25,412,365
26,412,365
27,412,365
28,413,365
29,412,365
30,413,365
31,413,365
32,413,365
33,413,365
34,413,365
35,413,365
36,413,365
37,413,365
38,413,365
39,413,365
40,413,365
41,413,365
42,413,365
43,413,365
44,414,365
45,414,365
46,414,365
47,414,365
48,414,365
49,414,365
50,414,365
51,414,365
52,414,365
53,414,365
54,414,365
55,414,365
56,414,365
57,414,365
58,414,365
59,414,365
60,414,365
61,414,365
62,414,365
63,414,365
64,414,365
65,414,365
66,414,365
67,414,365
68,415,365
69,415,365
70,415,365
71,415,365
72,415,365
73,415,365
74,415,365
75,415,365
76,415,365
77,415,365
78,415,365
79,415,365
80,415,365
81,415,365
82,415,365
83,415,365
84,415,365
85,415,366
86,415,365
87,415,365
88,415,366
89,415,366
90,415,366
91,415,366
92,415,366
93,415,365
94,415,365
95,415,365
96,415,366
97,415,366
98,415,366
99,415,366
100,415,366
101,415,366
102,415,366
103,415,366
104,415,366
105,415,366
106,415,366
107,415,366
108,415,366
109,415,366
110,415,366
111,415,366
112,415,366
113,415,366
114,415,366
115,415,366
116,416,365
117,416,366
118,416,365
119,416,366
